total_processing_days,premium,application_type,service_center
120.0,False,new application,Vermont
125.0,False,new application,Phoenix
120.0,False,new application,Vermont
124.0,False,new application,Vermont
97.0,False,new application,Vermont
26.0,False,renewal,California
85.0,False,new application,Dallas
57.0,False,new application,Dallas
104.0,False,new application,Vermont
113.0,False,new application,Vermont
109.0,True,new application,Vermont
126.0,False,new application,Vermont
101.0,False,new application,Vermont
124.0,False,new application,Vermont
124.0,False,new application,Vermont
114.0,False,new application,Dallas
46.0,False,new application,California
17.0,False,new application,California
87.0,False,new application,Vermont
74.0,False,new application,Dallas
21.0,False,new application,California
67.0,False,new application,California
70.0,False,new application,Texas
110.0,False,new application,Vermont
128.0,False,new application,Vermont
58.0,False,new application,Dallas
83.0,False,new application,Dallas
104.0,False,new application,Vermont
122.0,False,new application,Vermont
49.0,False,new application,Vermont
43.0,False,new application,California
15.0,False,new application,Phoenix
57.0,False,new application,Vermont
18.0,False,new application,California
129.0,False,new application,California
85.0,False,new application,California
126.0,False,new application,Vermont
10.0,True,new application,Vermont
77.0,False,new application,Vermont
121.0,False,new application,California
98.0,False,new application,Vermont
30.0,False,new application,California
109.0,False,new application,Vermont
51.0,False,new application,Vermont
114.0,False,new application,Vermont
88.0,False,new application,Vermont
124.0,False,new application,Vermont
102.0,False,new application,Vermont
75.0,False,new application,Vermont
120.0,False,new application,California
61.0,False,new application,Phoenix
72.0,False,new application,Vermont
116.0,False,new application,Vermont
14.0,False,new application,Phoenix
27.0,False,new application,California
26.0,False,new application,Phoenix
107.0,False,new application,Vermont
111.0,False,new application,Vermont
14.0,False,renewal,Vermont
26.0,False,new application,California
50.0,False,new application,Vermont
120.0,False,new application,Vermont
99.0,False,new application,Vermont
119.0,False,new application,Vermont
77.0,False,new application,Texas
101.0,False,new application,Vermont
14.0,False,new application,Vermont
80.0,False,new application,Vermont
26.0,False,new application,California
89.0,False,new application,Vermont
11.0,False,new application,California
75.0,False,new application,Vermont
14.0,True,new application,Vermont
56.0,False,new application,Texas
91.0,False,new application,Texas
